year,real_return,nominal_return,cape
1872,1.105571848,1.131,
1873,0.989373007,0.931,
1874,1.167195767,1.103,
1875,1.087368421,1.033,
1876,0.8982706,0.883,
1877,1.108474576,0.981,
1878,1.302325581,1.12,
1879,1.258853288,1.493,
1880,1.265306122,1.24,
1881,1.007476636,1.078,18.47
1882,1.04587156,1.026,15.68
1883,1.048701299,0.969,15.27
1884,0.969899666,0.87,14.43
1885,1.285136502,1.271,13.13
1886,1.186778594,1.131,16.69
1887,0.918944392,0.975,17.51
1888,1.021,1.021,15.36
1889,1.144220573,1.079,15.8
1890,0.891304348,0.902,17.22
1891,1.289915966,1.228,15.43
1892,1.048371175,1.062,19.02
1893,0.912432432,0.844,17.66
1894,1.10193133,1.027,15.74
1895,1.020408163,1.05,16.52
1896,1.034482759,1.02,16.58
1897,1.171,1.171,17.03
1898,1.216962525,1.234,19.25
1899,0.941830624,1.101,22.93
1900,1.234439834,1.19,18.67
1901,1.145714286,1.203,20.98
1902,0.983193277,1.053,22.34
1903,0.907838983,0.857,20.32
1904,1.255969436,1.315,15.86
1905,1.198,1.198,18.46
1906,1.014204545,1.071,20.13
1907,0.721144025,0.706,17.22
1908,1.402710552,1.449,11.9
1909,1.077828054,1.191,14.76
1910,0.998917749,0.923,14.55
1911,1.081716037,1.059,14.05
1912,1.00744879,1.082,13.79
1913,0.880582524,0.907,13.15
1914,0.957425743,0.967,11.64
1915,1.330392157,1.357,10.36
1916,0.96714032,1.089,12.54
1917,0.634208298,0.749,10.99
1918,1.047342193,1.261,6.64
1919,1.048908297,1.201,6.1
1920,0.795321637,0.816,5.99
1921,1.290358744,1.151,5.12
1922,1.300921187,1.271,6.29
1923,1.009765625,1.034,8.15
1924,1.26,1.26,8.07
1925,1.246376812,1.29,9.69
1926,1.151668352,1.139,11.34
1927,1.387922211,1.356,13.19
1928,1.396761134,1.38,18.81
1929,0.952286282,0.958,27.08
1930,0.813034188,0.761,22.31
1931,0.644983462,0.585,16.71
1932,0.991081382,0.889,9.31
1933,1.528769841,1.541,8.73
1934,0.957635468,0.972,13.03
1935,1.426213592,1.469,11.5
1936,1.3382643,1.357,17.09
1937,0.662779397,0.682,21.62
1938,1.261316872,1.226,13.51
1939,1.019,1.019,15.6
1940,0.897715988,0.904,16.38
1941,0.81255687,0.893,13.9
1942,1.074311927,1.171,10.1
1943,1.232038835,1.269,10.15
1944,1.172043011,1.199,11.05
1945,1.350293542,1.38,11.96
1946,0.770533446,0.91,15.62
1947,0.960477941,1.045,11.47
1948,1.037864078,1.069,10.42
1949,1.188968335,1.164,10.25
1950,1.247403211,1.321,10.75
1951,1.173584906,1.244,11.9
1952,1.173611111,1.183,12.53
1953,0.982125124,0.989,13.01
1954,1.531722054,1.521,12
1955,1.307768924,1.313,15.99
1956,1.033980583,1.065,18.29
1957,0.86686103,0.892,16.72
1958,1.406679764,1.432,13.79
1959,1.100294985,1.119,17.98
1960,0.990138067,1.004,18.34
1961,1.2591857,1.268,18.47
1962,0.901283317,0.913,21.2
1963,1.206692913,1.226,19.26
1964,1.151485149,1.163,21.63
1965,1.102060844,1.123,23.27
1966,0.868599034,0.899,24.06
1967,1.202912621,1.239,20.43
1968,1.06017192,1.11,21.51
1969,0.86252354,0.916,21.19
1970,0.983901515,1.039,17.09
1971,1.106485963,1.143,16.46
1972,1.149903288,1.189,17.26
1973,0.783808648,0.852,18.71
1974,0.655387355,0.736,13.53
1975,1.28344247,1.372,8.92
1976,1.177311725,1.235,11.19
1977,0.866916589,0.925,11.44
1978,0.976146789,1.064,9.24
1979,1.042365402,1.181,9.26
1980,1.175111111,1.322,8.85
1981,0.872359963,0.95,9.26
1982,1.16955684,1.214,7.39
1983,1.179190751,1.224,8.76
1984,1.021174206,1.061,9.89
1985,1.266859345,1.315,10
1986,1.172106825,1.185,11.72
1987,1.006704981,1.051,14.92
1988,1.113984674,1.163,13.9
1989,1.255258126,1.313,15.09
1990,0.912346843,0.968,17.05
1991,1.263821532,1.303,15.61
1992,1.045675413,1.076,19.77
1993,1.071080818,1.1,20.32
1994,0.986368062,1.013,21.41
1995,1.340487805,1.374,20.22
1996,1.188770571,1.228,24.76
1997,1.310717797,1.333,28.33
1998,1.26476378,1.285,32.86
1999,1.1781889,1.21,40.58
2000,0.879110251,0.909,43.77
2001,0.868110236,0.882,36.98
2002,0.760742188,0.779,30.28
2003,1.261040236,1.285,22.9
2004,1.072604066,1.108,27.66
2005,1.013539652,1.048,26.59
2006,1.127804878,1.156,26.47
2007,1.012487992,1.054,27.21
2008,0.63036963,0.631,24.02
2009,1.23466407,1.268,15.17
2010,1.133004926,1.15,20.53
2011,0.990291262,1.02,22.98
2012,1.137659784,1.157,21.21
2013,1.302463054,1.322,21.9
2014,1.125992063,1.135,24.86
2015,1.005958292,1.013,26.49
2016,1.095004897,1.118,24.21
2017,1.191968658,1.217,28.06
2018,0.938174681,0.956,33.31
2019,1.283479961,1.313,28.38
2020,1.168639053,1.185,30.99
2021,1.201869159,1.286,34.51
2022,0.769014085,0.819,36.94
2023,1.220502901,1.262,28.33
2024,1.230701754,1.2627,32.05
